EN,BM,中文,EN,BM,中文,,,,,,,,,
Information Technology (IT),Teknologi Maklumat (IT),资讯科技（IT）,IT Consultant ,Perunding IT,资讯科技顾问,,0,1,1,1,,,,
Information Technology (IT),Teknologi Maklumat (IT),资讯科技（IT）,"Keypuncher, Programmer, System Analyst, Business Analyst, Data Analyst","Keypuncher, Programmer, Penganalisis Sistem, Penganalisis Perniagaan, Penganalisis Data",按键，程序员，系统分析员，业务分析师，数据分析师,,0,1,1,1,,,,
Information Technology (IT),Teknologi Maklumat (IT),资讯科技（IT）,IT Technician ,Juruteknik IT  ,资讯科技技术员,,0,1,1,1,,,,
Insecticide Manufacture,Pembuatan Insektisida,杀虫剂制造,"Chemist, Superintendent","Ahli kimia, Penguatkuasa ",化学家，主管,,0,1,1,1,,,,
Insecticide Manufacture,Pembuatan Insektisida,杀虫剂制造,Supervisor,Penyelia,主管,,0,1,1,1,,,,
Insecticide Manufacture,Pembuatan Insektisida,杀虫剂制造,Worker,Pekerja ,工人,,2.5,1.5,D,1.45,,,,
Installer And Repairman,Pemasang Dan Pembaikan,安装和修理工,Installer And Repairman,Pemasang Dan Pembaikan,安装和修理工,Male,2.5,1.25,1,1,,,,
Installer And Repairwoman,Pemasang Dan Pembaikan,安装和修理工,Installer And Repairwoman,Pemasang Dan Pembaikan,安装和修理工,Female,2.5,1.25,1,1,,,,
Insurance,Insurans,保险,"Agent, Life Planner, Financial Planner","Agen, Perancang Hidup, Perancang Kewangan",代理，人生规划师，财务策划师,,0,1,1,1,,,,
Insurance,Insurans,保险,"Claims Assessor, Loss Adjuster","Penaksir Tuntutan, Pelaras Kerugian",索赔评估员，损失评估师,,0,1,1,1,,,,
Insurance,Insurans,保险,"Underwriter, Underwriting Executive, Underwriting Specialist","Penaja Jamin, Eksekutif Pengunderaitan, Pakar Pengunderaitan",承保员，承保执行员，承保专家,,0,1,1,1,,,,
Interpreter,Penterjermah,翻译员,Interpreter - No Overseas Assignment,Jurubahasa - Tiada Penyerahan Luar Negara,翻译员 - 没有海外工作,,0,1,1,1,,,,
Interpreter,Penterjermah,翻译员,Interpreter - With Overseas Assignment,Jurubahasa- Dengan Penyerahan Luar Negara,翻译员 - 在海外工作,,0,1,1,1,,,,
Janitor,Penjaga,看门人,Janitor - No Outside Window Cleaning,Penjaga- - Tiada Pembersihan Tingkap Luar,看门人 - 无外窗清洗,,0,1,1,1,,,,
Janitor,Penjaga,看门人,Janitor - Supervision Only On Building,Penjaga- Penyelia dalam Bangunan ,看门人 - 仅限大厦,,0,1,1,1,,,,
Jewellery,Barang Kemas ,首饰,Jewellery Worker,Pekerja Barang kemas ,珠宝工人,,0,1,1,1,,,,
Jewellery,Barang Kemas ,首饰,"Sales, Merchant, Administration","Pebnjual, Pedagang,Pentadbir",销售，贸易商，管理,,0,1,1,1,,,,
Journalism,Kewartawanan,新闻学,Editor ,Penyunting,编辑,,0,1,1,1,,,,
Journalism,Kewartawanan,新闻学,"Journalist, Correspondent, Reporter, Writer, Author, Columnist (No Overseas Travel or Hazardous Assignments) ","Wartawan, Penulis, Pengarang, Kolom (Tiada Perjalanan Luar Negara atau Pemberitahuan Berbahaya)",记者，通讯员，新闻记者，作家，作者，专栏作家（没有海外旅行或危险作业）,,0,1,1,1,,,,
Child,Juvenile,儿童,Child,Juvenile,儿童,,0,1,1,1,,,,
Kennel,Kennel/ Pusat Penjagaan Anjing ,养犬场,Dog Shooter,Penembak Anjing ,猎犬者,,0,1.25,1,D,,,,
Kennel,Kennel/ Pusat Penjagaan Anjing ,养犬场,"Kennel Assistant, Dog Trainer","Pembantu Kennel, Pelatih Anjing ",养犬助理，驯狗师,,0,1.25,1,1,,,,
Kennel,Kennel/ Pusat Penjagaan Anjing ,养犬场,Kennel Owner (Supervisory Duties Only),Pemilik Kennel(Penyeliaan sahaja),养犬者（仅监管职责）,,0,1,1,1,,,,
Knitting,Mengait,针织,"Manager, Clerk (Office Work Only)","Pengurus, Kerani (Pejabat Sahaja)",经理，文员（仅办公室工作）,,0,1,1,1,,,,
Knitting,Mengait,针织,Labourer,Buruh,劳工,,0,1,1,1,,,,
Laboratory - Medical,Makmal - Perubatan,实验室 - 医疗,"Lab Analyst, Lab Assistant","Penganalisis Makmal, Penolong Makmal",实验室分析员，实验室助理,,0,1,1,1,,,,
Laboratory - Medical,Makmal - Perubatan,实验室 - 医疗,"Lab Attendant, Technician","Pembantu Makmal, Juruteknik",实验室助理，技术员,,0,1,1,1,,,,
Laboratory - Medical,Makmal - Perubatan,实验室 - 医疗,"Chemist, Research Officer","Ahli Kimia, Pegawai Penyelidik",化学家，研究主任,,0,1,1,1,,,,
Labourer,Pekerja ,劳动者,Labourer - Hazardous Industries,Pekerja- Industri Berbahaya,劳动者 - 高风险行业,,5,D,D,D,,,,
Labourer,Pekerja ,劳动者,Labourer - Non-Hazardous Industries,Pekerja- Industri Tidak  Berbahaya,劳动者 - 非危险行业,,2.5,1.25,1,1.45,,,,
Laundry,Kedai Dobi,洗衣店,"Clerk, Proprietor (Office Work Only)","Kerani, Pemilik (Kerja Pejabat Sahaja)",文员，业主（仅办公室工作）,,0,1,1,1,,,,
Laundry,Kedai Dobi,洗衣店,"Laundryman, Skilled Worker",Pekerja Awam / Pekerja Mahir,洗衣工，技术工人,Male,0,1,1,1,,,,
Laundry,Kedai Dobi,洗衣店,"Laudrywoman, Skilled Worker",Pekerja Awam / Pekerja Mahir,洗衣工，技术工人,Female,0,1,1,1,,,,
Leather - Product Maker,Kulit - Pembuat Produk,皮革产品制造商,Leather - Product Maker,Kulit - Pembuat Produk,皮革产品制造商,,0,1,1,1,,,,
Librarian,Pustakawan,图书管理员,Librarian,Pustakawan,图书管理员,,0,1,1,1,,,,
Lift,Lif,电梯,Lift Attendant / Operator,Pengendali Lift ,电梯服务员/操作员,,0,1,1,1,,,,
Lift,Lif,电梯,"Lift Technician, Mechanics, Supervisor, Repairer","Juruteknik Lif, Mekanik, Penyelia, Pembaikan",电梯技术员，技师，主管，修理者,,2.5,1.25,1,1.45,,,,
Light Rail Transit / Monorail / Railroad,Transit Ringan / Monorel / Keretapi,轻轨/单轨铁路/铁路,"Clerk, Ticketing Clerk, Officer (Office Work Only)","Kerani, Kerani Tiket, Pegawai (Hanya Kerja Pejabat)",文员，售票员，主任（仅办公室工作）,,0,1,1,1,,,,
Light Rail Transit / Monorail / Railroad,Transit Ringan / Monorel / Keretapi,轻轨/单轨铁路/铁路,"Commuter Train Driver, Light Rail Transit Driver","Pemandu Keretapi komuter, Pemandu Transit Ringan",通勤列车司机，轻轨交通司机,,0,1.5,1,1,,,,
Light Rail Transit / Monorail / Railroad,Transit Ringan / Monorel / Keretapi,轻轨/单轨铁路/铁路,"Stationmaster, Supervisor (Supervisory Duties Only) ","Stationmaster, Penyelia (Penyelia) ",站长，主管（仅监管职责）,,0,1,1,1,,,,
Locksmith,Tukang Kunci,锁匠,Locksmith,Tukang Kunci,锁匠,,0,1,1,1,,,,
Lounge / Karaoke - High Class Establishment,Lounge / Karaoke - Penubuhan Kelas Tinggi,酒廊/卡拉OK - 高级场所,"Bartender, Musical Band, Singer, Waiter","Pelayan Bar, Band Muzik,Penyanyi,Pelayan",酒保，音乐乐队，歌手，侍者,Male,0,1,1,1,,,,
Lounge / Karaoke - High Class Establishment,Lounge / Karaoke - Penubuhan Kelas Tinggi,酒廊/卡拉OK - 高级场所,"Bartender, Musical Band, Singer, Waitress","Pelayan Bar, Band Muzik,Penyanyi,Pelayan",酒保，音乐乐队，歌手，女侍者,Female,0,1,1,1,,,,
Lounge / Karaoke - High Class Establishment,Lounge / Karaoke - Penubuhan Kelas Tinggi,酒廊/卡拉OK - 高级场所,"Guest Relations Officer, Public Relations Officer, Business Manager, Marketing Officer (GRO/PRO)","Guest Relations Officer, Public Relations Officer, Business Manager, Marketing Officer (GRO/PRO)",客户关系主任，公共关系主任，业务经理，市场营销员（GRO / PRO）,,0,1,1,1,,,,
Lounge / Karaoke - Lower Class Hotel Establishment,Lounge / Karaoke - Lower Class Hotel Establishment,酒廊/卡拉OK - 低级酒店场所,"Bartender, Musical Band, Singer, Waiter","Bartender, Musical Band, Singer, Waiter, Waitress",酒保，音乐乐队，歌手，侍者,Male,2.5,1.25,1,1.3,,,,
Lounge / Karaoke - Lower Class Hotel Establishment,Lounge / Karaoke - Lower Class Hotel Establishment,酒廊/卡拉OK - 低级酒店场所,"Bartender, Musical Band, Singer, Waitress","Bartender, Musical Band, Singer, Waiter, Waitress",酒保，音乐乐队，歌手，女侍者,Female,2.5,1.25,1,1.3,,,,
Lounge / Karaoke - Lower Class Hotel Establishment,Lounge / Karaoke - Lower Class Hotel Establishment,酒廊/卡拉OK - 低级酒店场所,"Guest Relations Officer (GRO), Public Relations Officer (PRO) Marketing Officer, Business Manager - Apply To Females Only","Pegawai Perhubungan Awam, Pegawai Perhubungan Awam, Pengurus Perniagaan, Pegawai Pemasaran (GRO / PRO) - Untuk wanita sahaja","客户关系主任（GRO），公共关系主任（PRO）, 市场总监，业务经理 - 仅适用于女性",Female,2.5,1.25,1,1.45,,,,
Lumber - Tree Cutter,Kayu - Pemotong Pokok,木材 - 砍伐 ,"Sawdoctor, Sawmiller Using Electric Saw","Sawdoctor,Pengunaan Sawmiller Mengunakan gergaji elektrik",锯齿整修工，使用电锯锯木工,,2.5,1.5,1,D,,,,
Lumber - Tree Cutter,Kayu - Pemotong Pokok,木材 - 砍伐 ,Tractor Driver / Bulldozer Driver / Forklift Driver,Pemandu Traktor / Pemandu Bulldozer / Pemandu Forklift,拖拉机驾驶员/推土机司机/叉车司机,,2.5,1.5,1,D,,,,
Lumber Industry,Industri Kayu,木材工业,Admin Duties (Going Into Jungle),Admin  (Pergi ke hutan),管理职责（进入丛林）,,0,1,1,1,,,,
Lumber Industry,Industri Kayu,木材工业,Admin Duties Only,Admin Sahaja,仅管理职责,,0,1,1,1,,,,
Lumber Industry,Industri Kayu,木材工业,"Barker, Boom-Man, Bucker, Chain-Tender, Chockerman, Crane-Operator, Dragsawman, Drum-Man, Faller, Hook-On Man","Pemburu, Boom-Man, Bucker, Rantai-Tender, Chockerman, Pengendali kren, Dragsawman,Kakitangan Dram, Penebang, Tukang menghasilkan pengantung",剥树皮工，原木堆场伐木工，原木锯工，链车，缠绕工，起重机操作员，拖锯，伐木，挂钩,,5,D,D,D,,,,
Lumber Industry,Industri Kayu,木材工业,"Cook, Dishwasher, Grader, Houseboy, Inspector, Scaler, Storekeeper, Supervisor, Waiter","Tukang Masak,Pembasuh Pinggan, Grader,Pekerja, Pemeriksa, Scaler, Penjaga stor, Penyelia, Penyelia",厨师，洗碗，平地机，男仆，检查，攀登，仓库管理员，主管，侍者,,0,1,1,1,,,,
Lumber Industry,Industri Kayu,木材工业,Labourer,Pekerja,劳工,,2.5,1.5,1,D,,,,
Lumber Industry,Industri Kayu,木材工业,"Loader & Roadpuncher, Riverman, Raftsman, Sawyer, Splicer, Stationery Engineer & Fireman, Swamper, Teamster, Tong-Hooker, Trucker","Jentolak, Riverman, Rerakit, Tukang Pengergaji, Splicer, Jurutera Operasi & ahli bomba, Pembersih, Pemandu Trak",装卸和压路工，船工，筏工，锯工，捻接，运作工程师和消防员，清洁工，卡车司机,Male,5,D,D,D,,,,
Lumber Industry,Industri Kayu,木材工业,"Loader & Roadpuncher, Riverman, Raftsman, Sawyer, Splicer, Stationery Engineer & Firewoman, Swamper, Teamster, Tong-Hooker, Trucker","Jentolak, Riverman, Rerakit, Tukang Pengergaji, Splicer, Peralatan Jurutera & Kebakaran, Paya, Jurulatih, Tong-Hooker, Pemandu Truk",装卸和压路工，船工，筏工，锯工，捻接，运作工程师和消防员，清洁工，卡车司机,Female,5,D,D,D,,,,
Lumber Industry,Industri Kayu,木材工业,"Lorry Driver Carrying Timber, Lorry Attendant","Pemandu Lori Membawa Kayu, Pengendali Lori",运载木材货车司机，货车随车员,,2.5,1.5,1,D,,,,
Lumber Industry,Industri Kayu,木材工业,Lumberjack,Tukang Kayu ,伐木工人,,2.5,1.5,1,D,,,,
Lumber Industry,Industri Kayu,木材工业,"Rigger, Topman","Rigger, Topman",索具装配员，锯木坑顶部锯木工,,5,D,D,D,,,,
Machine Shop - Non Hazardous ,Kedai Mesin - Tidak Berbahaya,机器店 - 非危险区,"Diemaker, Handsawer, Machinist With Little Or No Grinding, Operator Of Boring, Drill, Lathe, Millwright","Diemaker, Handsawer, Mesin dengan ada atau sedikit pengisar, Pengendali Boring, Mengdrill, Lathe, Millwright",雕刻印模工，手锯工，很少或没有打磨的机械工，凿工，钻工，车床，技工,,0,1.25,1,1.3,,,,
Machine Shop - Non Hazardous ,Kedai Mesin - Tidak Berbahaya,机器店 - 非危险区,"Millwright, Punch-Press & Milling & Screw Machines, Planer, Reaver, Shaper, Slotter, Tool-Maker, General Worker","Millwright, Punch-Press & Penggilingan & Mesin skru, Planer, Reaver, Pembentuk, Slotter, Pembuat Alat, Pekerja Umum",技工，冲床及铣削及螺丝机械，刨床，塑造，插床，工具制造，普通工人,,0,1.25,1,1.3,,,,
Machine Shop - Non Hazardous ,Kedai Mesin - Tidak Berbahaya,机器店 - 非危险区,Watch Case Factory Mechanics,Mekanik kilang bingkai jam,表壳厂机械师,,0,1.25,1,1,,,,
Marble Polisher,Pengilap Marmar,磨亮大理石工人,Marble Polisher,Pengilap Marmar,磨亮大理石工人,,0,1,1,1,,,,
Marine - Others,Laut - Lain-lain,海洋 - 其他,"Barge, Ferry-Boat, Junk, Motorboat, Sailing Vessel, Sampan, Tug","Tongkang, Feri-Bot, Junk, Perahu Motor, Kapal Pelayaran, Sampan, Tug",驳船，渡船，平底方帆船，摩托艇，帆船，舢板，拖船,,0,1.25,1,1.3,,,,
Marine - Others,Laut - Lain-lain,海洋 - 其他,Deck Officer,Pegawai Deck,甲板官员,,0,1,1,1,,,,
Marine - Others,Laut - Lain-lain,海洋 - 其他,Harbour Pilot,Pengendali Pelabuhan ,港口导引员,,0,1,1,1,,,,
"Marine (Passenger Service & Freighter) Below 1,000 Tons","Marin Laut - (Perkhidmatan Penumpang & Penumpang) Di bawah 1,000 Ton",海洋（乘客服务和货轮）1000吨以下,"Boatswain, Carpenter, Cook, etc","ketua deck, Tukang Kayu, Tukang Masak, etc",水手长，木匠，厨师等,,5,D,D,D,,,,
"Marine (Passenger Service & Freighter) Below 1,000 Tons","Marin Laut - (Perkhidmatan Penumpang & Penumpang) Di bawah 1,000 Ton",海洋（乘客服务和货轮）1000吨以下,"Captain, Chief Officer, Chief Steward, Engineer, Master, Mate, Musician, Physician, Pilot, Purser, Quartermaster, Wireless Operator","Kapten, Ketua Pegawai, Ketua pramugara, Jurutera, Ketua, Pemuzik, Pakar Perubatan, Pemandu Kapal, Akauntan Kapal, Quartermaster, Operator Tanpa Wayar",船长，大副，乘务长，工程师，船长，大副，音乐家，医生，领航员，乘务长，司务长，电话接线员,,2.5,D,D,D,,,,
"Marine (Passenger Service & Freighter) Below 1,000 Tons","Marin Laut - (Perkhidmatan Penumpang & Penumpang) Di bawah 1,000 Ton",海洋（乘客服务和货轮）1000吨以下,"Coal-Passer, Deckhand, Fireman, etc","Pengendali Batu Arang, Anak Kapal,Pemadam Api, etc",加煤手，水手，消防员等,Male,5,D,D,D,,,,
"Marine (Passenger Service & Freighter) Below 1,000 Tons","Marin Laut - (Perkhidmatan Penumpang & Penumpang) Di bawah 1,000 Ton",海洋（乘客服务和货轮）1000吨以下,"Coal-Passer, Deckhand, Firewoman, etc","Pengendali Batu Arang, Anak Kapal,Pemadam Api, etc",加煤手，水手，女消防员等,Female,5,D,D,,,,,
"Marine (Passenger Service & Freighter) 1,000 To 2,999 Tons","Marin Laut (Penumpang Perkhidmatan & Pengangkut) 1,000 hingga 2,999 Ton",海洋（乘客服务和货轮），1000〜2999吨,"Boatswain, Carpenter, Cook, etc","ketua deck, Tukang Kayu, Tukang Masak, etc",水手长，木匠，厨师等,,5,D,D,D,,,,
"Marine (Passenger Service & Freighter) 1,000 To 2,999 Tons","Marin Laut (Penumpang Perkhidmatan & Pengangkut) 1,000 hingga 2,999 Ton",海洋（乘客服务和货轮），1000〜2999吨,"Captain, Chief Officer, Chief Steward, Engineer, Master, Mate, Musician, Physician, Pilot, Purser, Quartermaster, Wireless Operator","Kapten, Ketua Pegawai, Ketua pramugara, Jurutera, Ketua, Pemuzik, Pakar Perubatan, Pemandu Kapal, Akauntan Kapal, Quartermaster, Operator Tanpa Wayar",船长，大副，乘务长，工程师，音乐家，医生，领航员，乘务长，司务长，电话接线员,,2.5,1,1,1.3,,,,
"Marine (Passenger Service & Freighter) 1,000 To 2,999 Tons","Marin Laut (Penumpang Perkhidmatan & Pengangkut) 1,000 hingga 2,999 Ton",海洋（乘客服务和货轮），1000〜2999吨,"Coal-Passer, Deckhand, Fireman, etc.","Pengendali Batu Arang, Anak Kapal,Pemadam Api, etc",加煤手，水手，消防员等,Male,5,D,D,D,,,,
"Marine (Passenger Service & Freighter) 1,000 To 2,999 Tons","Marin Laut (Penumpang Perkhidmatan & Pengangkut) 1,000 hingga 2,999 Ton",海洋（乘客服务和货轮），1000〜2999吨,"Coal-Passer, Deckhand, Firewoman, etc.","Pengendali Batu Arang, Anak Kapal,Pemadam Api, etc",加煤手，水手，女消防员等,Female,5,D,D,D,,,,
"Marine (Passenger Service & Freighter) Over 3,000 Tons","Marin (Perkhidmatan Penumpang & Pengembara) Lebih 3,000 Tan",海洋（乘客服务和货轮）超过3000吨,"Boatswain, Carpenter, Cook, etc","ketua deck, Tukang Kayu, Tukang Masak, etc",水手长，木匠，厨师等,,2.5,1.25,1,1.45,,,,
"Marine (Passenger Service & Freighter) Over 3,000 Tons","Marin (Perkhidmatan Penumpang & Pengembara) Lebih 3,000 Tan",海洋（乘客服务和货轮）超过3000吨,"Captain, Chief Officer, Chief Steward, Engineer, Master, Mate, Musician, Physician, Pilot, Purser, Quartermaster, Wireless Operator","Kapten, Ketua Pegawai, Ketua pramugara, Jurutera, Ketua, Pemuzik, Pakar Perubatan, Pemandu Kapal, Akauntan Kapal, Quartermaster, Operator Tanpa Wayar",船长，大副，乘务长，工程师，音乐家，医生，领航员，乘务长，司务长，电话接线员,,0,1,1,1,,,,
"Marine (Passenger Service & Freighter) Over 3,000 Tons","Marin (Perkhidmatan Penumpang & Pengembara) Lebih 3,000 Tan",海洋（乘客服务和货轮）超过3000吨,"Coal-Passer, Deckhand, Fireman, etc.","Pengendali Batu Arang, Anak Kapal,Pemadam Api, etc",加煤手，水手，消防员等,Male,5,D,D,D,,,,
"Marine (Passenger Service & Freighter) Over 3,000 Tons","Marin (Perkhidmatan Penumpang & Pengembara) Lebih 3,000 Tan",海洋（乘客服务和货轮）超过3000吨,"Coal-Passer, Deckhand, Firewoman, etc.","Pengendali Batu Arang, Anak Kapal,Pemadam Api, etc",加煤手，水手，女消防员等,Female,5,D,D,D,,,,
Marine (Wrecking & Salvage Service - All Tonnage),Marin (Perkhidmatan Wrecking & Salvage - Semua Tonnage),海洋（抢险和救助服务 - 所有吨位）,"Boatswain, Carpenter, Cook, etc","ketua deck, Tukang Kayu, Tukang Masak, etc",水手长，木匠，厨师等,,5,D,D,D,,,,
Marine (Wrecking & Salvage Service - All Tonnage),Marin (Perkhidmatan Wrecking & Salvage - Semua Tonnage),海洋（抢险和救助服务 - 所有吨位）,"Captain, Chief Officer, Chief Steward, Engineer, Master, Mate, Musician, Physician, Pilot, Purser, Quartermaster, Wireless Operator","Kapten, Ketua Pegawai, Ketua pramugara, Jurutera, Ketua, Pemuzik, Pakar Perubatan, Pemandu Kapal, Akauntan Kapal, Quartermaster, Operator Tanpa Wayar",船长，大副，乘务长，工程师，，音乐家，医生，领航员，乘务长，司务长，电话接线员,,2.5,D,D,D,,,,
Marine (Wrecking & Salvage Service - All Tonnage),Marin (Perkhidmatan Wrecking & Salvage - Semua Tonnage),海洋（抢险和救助服务 - 所有吨位）,"Coal-Passer, Deckhand, Fireman, etc","Pengendali Batu Arang, Anak Kapal,Pemadam Api, etc",加煤手，水手，消防员等,Male,5,D,D,D,,,,
Marine (Wrecking & Salvage Service - All Tonnage),Marin (Perkhidmatan Wrecking & Salvage - Semua Tonnage),海洋（抢险和救助服务 - 所有吨位）,"Coal-Passer, Deckhand, Firewoman, etc","Pengendali Batu Arang, Anak Kapal,Pemadam Api, etc",加煤手，水手，女消防员等,Female,5,D,D,D,,,,
Massage Therapy,Terapi Urut ,按摩疗法,Blind Massage Therapist,Terapi urutan Pekerja Buta ,盲人按摩师,,0,1,1.5,1,,,,
Massage Therapy,Terapi Urut ,按摩疗法,Male Massage Therapist,Therapist Urut Lelaki,男按摩师,Male,0,1,1,1,,,,
Massage Therapy,Terapi Urut ,按摩疗法,Female Massage Therapist (International Hotel),Therapist Urut Wanita (Hotel Antarabangsa),女按摩师（国际酒店）,Female,0,1,1,1,,,,
Massage Therapy,Terapi Urut ,按摩疗法,Female Massage Therapist (Other Than International Hotel),Therapist Urut Perempuan (Selain Hotel Antarabangsa),女按摩师（国际酒店除外）,Female,2.5,1.25,D,D,,,,
Match Factories,Kilang Padanan,火柴厂,"Block-Feeder, Composite-Man, Dipper, Gauger, Glass, Grinder, Mixing-Room Worker, Packer","Penyekat Blok, Komposit, Dipper, Gauger, Kaca, Gurinda, Pekerja Pencampur-Bilik, Pengemas",木块进料，混合材料工人，浸渍者，测量员，玻璃，磨床，混合室工人，包装工人,,0,1.25,1,1.3,,,,
Match Factories,Kilang Padanan,火柴厂,Labourer,Pekerja,劳工,,2.5,1.5,1,1.45,,,,
Match Factories,Kilang Padanan,火柴厂,Manager (Office Work Only),Pengurus (Pejabat sahaja),经理（仅办公室工作）,,0,1,1,1,,,,
Match Factories,Kilang Padanan,火柴厂,Superintendent,Penguasa,厂长,,0,1,1,1,,,,
Match Factories,Kilang Padanan,火柴厂,Supervisor,Penyelia,主管,,0,1,1,1,,,,
Mattress & Pillow Factories,Kilang Tilam & Bantal,床垫及枕头工厂,"Manager, Clerk (Office Work Only)","Pengurus, Kerani (Pejabat Sahaja)",经理，文员（仅办公室工作）,,0,1,1,1,,,,
Mattress & Pillow Factories,Kilang Tilam & Bantal,床垫及枕头工厂,"Blower, Felter, Filler, Garnetting-Machine, Operator, Picker & Other Worker Exposed To Dust","Pengering, Felter, Pengisi, Mesin Garnetting,Pengendali, Pengumpul &Pekerja lain yang terdedah pada habuk.",吹制工，毛毡工，填补工，棉花织机，操作员，挑选者和其他接触粉尘的工人,,0,1.25,1,1.3,,,,
Mattress & Pillow Factories,Kilang Tilam & Bantal,床垫及枕头工厂,"Cutter, Roll-Edger, Sawer, Upholsterer & Other Skilled Workers","Pemotong, Roll-Edger, Sawer,Pereka & Pekerja Mahir lain",切割工人，卷边工，锯工，装饰工及其他技工,,0,1,1,1,,,,
Mattress & Pillow Factories,Kilang Tilam & Bantal,床垫及枕头工厂,Labourer,Pekerja ,劳工,,0,1.5,1,1.45,,,,
Mattress & Pillow Factories,Kilang Tilam & Bantal,床垫及枕头工厂,Supervisor,Penyelia,主管,,0,1,1,1,,,,
Medical Shop,Kedai Perubatan,医疗店,Pharmacist ,Ahli Farmasi,药剂师,,0,1,1,1,,,,
Medical Shop,Kedai Perubatan,医疗店,Medical Shop Proprietor,Pemilik Kedai Perubatan,医疗店业主,,0,1,1,1,,,,
Medical Shop,Kedai Perubatan,医疗店,Medical Shop Assistant,Pembantu Kedai Perubatan,医疗店助理,,0,1,1,1,,,,
Medical Shop,Kedai Perubatan,医疗店,Sinseh (Consulting Only),Sinseh (Nasihat Sahaja),中医师（仅咨询）,,0,1,1,1,,,,
Member Of Parliament - Politician,Ahli Parlimen - ahli politik,国会议员 - 政治家,Member Of Parliament - Politician,Ahli Parlimen - ahli politik,国会议员 - 政治家,,0,1,1,1,,,,
"Messenger - Bank, Office & Other, Mainly On Foot","Utusan - Bank, Pejabat & Lain, (Berjalan Kaki)",信差 - 银行，办公室及其他，主要是步行,Messenger - Carrying Valuables,Utusan - Membawa barangan Berharga,信差  - 携带贵重物品,,2.5,1.25,1,1.45,,,,
"Messenger - Bank, Office & Other, Mainly On Foot","Utusan - Bank, Pejabat & Lain, (Berjalan Kaki)",信差 - 银行，办公室及其他，主要是步行,Messenger - Not Carrying Valuables,Utusan -Tidak Membawah Barangan Berharga ,信差  - 不携带贵重物品,,0,1,1,1,,,,
"Messenger - Store, Telegraph & Other Outside Messenger","Utusan - Kedai, Telegraf & Lain-lain utusan di Luar",信差  - 商店，电报及其他户外信差,Messenger - Using Bicycle,Utusan- Menggunakan Basikal,信差  - 使用脚踏车,,0,1,1,1,,,,
"Messenger - Store, Telegraph & Other Outside Messenger","Utusan - Kedai, Telegraf & Lain-lain utusan di Luar",信差  - 商店，电报及其他户外信差,Messenger - Using Motorcycle,Utusan- Menggunakan Motorsikal,信差  - 使用摩托车,,0,1.25,1,1,,,,
Metal Industry ,Industri Besi ,金属工业,"Manager, Clerk (Office Work Only)","Pengurus, Kerani (Pejabat Sahaja)",经理，文员（仅办公室工作）,,0,1,1,1,,,,
Metal Industry ,Industri Besi ,金属工业,Blacksmith,Tukang Besi ,铁匠,,0,1.5,1,1.3,,,,
Metal Industry ,Industri Besi ,金属工业,Boiler-Maker,Pembuat Dangdang ,锅炉制造,,2.5,1.25,1,1.45,,,,
Metal Industry ,Industri Besi ,金属工业,Fitter (No Welding Or Handling Of Machinery),"
Fitter (Tiada Kimpalan Atau Pengendalian Mesin)",钳工（无焊接或机械操作）,,0,1,1,1,,,,
Metal Industry ,Industri Besi ,金属工业,"Metal Industry - Forgeman (Heavy Work), Hammerman, Hydraulic-Press Operator","Industri Logam - Forgeman (Kerja Berat), Hammerman, Operator Hidraulik-Tekan",金属工业 - 铁工（繁重的工作），锤工，液压机操作员,,2.5,1.25,1,1.45,,,,
Metal Industry ,Industri Besi ,金属工业,Lead-Burner,Lead-Burner,铅烧工,,5,D,D,D,,,,
Metal Industry ,Industri Besi ,金属工业,Machinery-Mover,Jentera-Pengerak,机械搬运工,,0,1.25,1,1,,,,
Metal Industry ,Industri Besi ,金属工业,"Pattern-Maker, Toolmaker, Millwright","Penghasilan corak, Peralatan Penghasilan, Pengendali Mesin Millwright",图案制作，模具生产工，工厂技工,,0,1.25,1,1.3,,,,
Metal Industry ,Industri Besi ,金属工业,Sandblaster,Pengendali Mesin Sandblaster,喷砂工人,,2.5,1.5,1,D,,,,
Microfilm Operator,Pengendali Mikro Film,缩微胶卷操作员,Microfilm Operator,Pengendali Mikro Film,缩微胶卷操作员,,0,1,1,1,,,,
Male Midwife,Bidan Lelaki,男助产士,Male Midwife,Bidan Lelaki,男助产士,Male,0,1,1,1,,,,
Midwife,Bidan,助产士,Midwife,Bidan,助产士,Female,0,1,1,1,,,,
Mining ,Perlombongan ,矿业,Bulldozer / Tractor Driver,Jentolak / Pemandui Telaktor,推土机/拖拉机司机,,2.5,1.5,1,1.45,,,,
Mining ,Perlombongan ,矿业,"Construction Worker, Monitor Engine Driver","Pekerja Binaan, Pengawasaan Pemandu Engine",建筑工人，引擎监控工,,2.5,1.25,1,1.3,,,,
Mining ,Perlombongan ,矿业,Dredge Worker,Penggali lombong,挖掘工人,,2.5,1.25,1,D,,,,
Mining ,Perlombongan ,矿业,Dulang Washer & Other Mine Workers,Pembasuh Dulang& Perkerja  lombong Lain,琉琅及其他煤矿工人,,2.5,1.25,D,D,,,,
Mining ,Perlombongan ,矿业,Other Mine Workers (Not Underground),Pekerja Lombong Lain ( Bukan Bawah Tanah),其他煤矿工人（非地底下）,,5,D,D,D,,,,
Mining ,Perlombongan ,矿业,Palong Construction Worker,Pekerja Binaan Palong ,金山沟建筑工人,,2.5,1.25,1,D,,,,
